"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordDispense","","","",0,*,"","","","","Medication Record Dispense logical model","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordDispense.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication dispense session","The business identifier(s) for the medication dispense session","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.identifier",0,1,"",""
"BeModelMedicationRecordDispense.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The person for which the medication is dispensed.","The person for which the medication is dispensed.","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.patient",1,1,"",""
"BeModelMedicationRecordDispense.dispenser","","","",0,*,"","","","BackboneElement {[]} {[]}
","The dispenser, if known and relevant","The dispenser, if known and relevant","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.dispenser",0,*,"",""
"BeModelMedicationRecordDispense.dispenser.actor","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","The person that performed the dispense","The person that made the dispense","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.dispenser.actor",1,1,"",""
"BeModelMedicationRecordDispense.dispenser.organization","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","The organzation from which the dispenser belongs","The organzation from which the dispenser belongs","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.dispenser.organization",1,1,"",""
"BeModelMedicationRecordDispense.date","","","",1,1,"","","","dateTime {[]} {[]}
","The date when the dispense ocurred (or not)","The date when the dispense ocurred (or not)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.date",1,1,"",""
"BeModelMedicationRecordDispense.prescription","","","",0,1,"","","","BackboneElement {[]} {[]}
","The information about a prescription related to the dispense","The information about a prescription related to the dispense","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.prescription",0,1,"",""
"BeModelMedicationRecordDispense.prescription.isprescribed","","","",0,1,"","","","boolean {[]} {[]}
","Whether this dispense was performed against a prescription","Whether this dispense was performed against a prescription","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.prescription.isprescribed",0,1,"",""
"BeModelMedicationRecordDispense.prescription.prescription","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest]]}
","The prescription identification","The prescription identification","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.prescription.prescription",0,1,"",""
"BeModelMedicationRecordDispense.status","","","",1,1,"","","","code {[]} {[]}
","Status of the dispense","Status of the dispense","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordDispense.status",1,1,"",""
