"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordSummaryView","","","",0,*,"","","","","Medication Record Summary View - logical model","A model for representing a summary view of a patient's medication.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordSummaryView.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication summary","The business identifier(s) for the medication summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.identifier",0,1,"",""
"BeModelMedicationRecordSummaryView.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","From which patient the summary is from","From which patient the summary is from","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.subject",1,1,"",""
"BeModelMedicationRecordSummaryView.status","","","",1,1,"","","","code {[]} {[]}
","Status of the summary","Status of the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.status",1,1,"",""
"BeModelMedicationRecordSummaryView.intent","","","",1,1,"","","","code {[]} {[]}
","Intent for the summary","Intent for the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.intent",1,1,"",""
"BeModelMedicationRecordSummaryView.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category of the summary","Category of the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.category",0,*,"",""
"BeModelMedicationRecordSummaryView.title","","","",0,1,"","","","string {[]} {[]}
","Short title of the summary","Short title of the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.title",0,1,"",""
"BeModelMedicationRecordSummaryView.description","","","",0,1,"","","","string {[]} {[]}
","Textual description of the summary","Textual description of the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.description",0,1,"",""
"BeModelMedicationRecordSummaryView.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter regarding the summary creation","Encounter regarding the summary creation","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.encounter",0,1,"",""
"BeModelMedicationRecordSummaryView.period","","","",0,1,"","","","Period {[]} {[]}
","Period of time that the summary covers","Period of time that the summary covers","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.period",0,1,"",""
"BeModelMedicationRecordSummaryView.created","","","",0,1,"","","","dateTime {[]} {[]}
","Date of the creation of the summary","Date of the creation of the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.created",0,1,"",""
"BeModelMedicationRecordSummaryView.author","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}
","Author of the summary","Author of the summary","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.author",0,1,"",""
"BeModelMedicationRecordSummaryView.supportingInfo","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Supporting Info for the summary, like context or aditional information considered relevant","Supporting Info for the summary, like context or aditional information considered relevant","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.supportingInfo",0,*,"",""
"BeModelMedicationRecordSummaryView.goal","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Goal]]}
","Desired outcome of plan","Desired outcome of plan","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordSummaryView.goal",0,*,"",""
