"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationScheduledAdministration","","","",0,*,"","","","","Medication Record Scheduled Administration logical model","A model for a record of a single planned administration event.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationScheduledAdministration.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication scheduled administration","The business identifier(s) for the medication scheduled administration","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.identifier",0,1,"",""
"BeModelMedicationScheduledAdministration.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The person for which the product is prescribed.","The person for which the product is prescribed.","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.patient",1,1,"",""
"BeModelMedicationScheduledAdministration.status","","","",1,1,"","","","code {[]} {[]}
","Status of the medication scheduled administration","status of the medication scheduled administration","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.status",1,1,"",""
"BeModelMedicationScheduledAdministration.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for current status","Reason for current status","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.statusReason",0,*,"",""
"BeModelMedicationScheduledAdministration.product[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication]]}","Product to be consumed","Product to be consumed","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.product[x]",1,1,"",""
"BeModelMedicationScheduledAdministration.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter in which the schedule was created","Encounter in which the schedule was created","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.encounter",0,1,"",""
"BeModelMedicationScheduledAdministration.reason","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","Reason or indication for ordering","Reason or indication for ordering","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.reason",0,*,"",""
"BeModelMedicationScheduledAdministration.groupIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Composite request this is part of","Composite request this is part of","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.groupIdentifier",0,1,"",""
"BeModelMedicationScheduledAdministration.dosageInstruction","","","",0,*,"","","","Dosage {[]} {[]}
","How the product should be consumed","How the product should be consumed","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.dosageInstruction",0,*,"",""
"BeModelMedicationScheduledAdministration.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional Information about the scheduled administration","Additional Information about the scheduled administration","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.note",0,*,"",""
"BeModelMedicationScheduledAdministration.treatmentPlan","","","",0,1,"","","","Reference {[]} {[]}
","Link to the 'parent' treatment - i.e the treatment that this order is derived from, or contriburing to","Link to the 'parent' treatment - i.e the treatment that this order is derived from, or contriburing to","","","","","","","","","",,,,,"",,,,"BeModelMedicationScheduledAdministration.treatmentPlan",0,1,"",""
