"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"KMEHRv58","","","",0,*,"","","","","Medication Schema KMEHR V5.8","This model represents the Medication Schema KMEHR V5.8. It is shown for demonstrating the field correspondence/equivalence","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"KMEHRv58.kmehr_header","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_header",0,1,"",""
"KMEHRv58.kmehr_folder","","","",0,1,"","","","BackboneElement {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder",0,1,"",""
"KMEHRv58.kmehr_folder.patient","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.patient",0,1,"",""
"KMEHRv58.kmehr_folder.transaction_medicationscheme","","","",0,1,"","","","BackboneElement {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.transaction_medicationscheme",0,1,"",""
"KMEHRv58.kmehr_folder.transaction_medicationscheme.parent_transaction","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.transaction_medicationscheme.parent_transaction",0,1,"",""
"KMEHRv58.kmehr_folder.transaction_medicationscheme.child_transaction","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.transaction_medicationscheme.child_transaction",0,1,"",""
"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement","","","",0,1,"","","","BackboneElement {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement",0,1,"",""
"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement.parent_transaction","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement.parent_transaction",0,1,"",""
"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement.child_MSE","","","",0,1,"","","","Reference {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement.child_MSE",0,1,"",""
"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement.child_MSE.item","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"KMEHRv58.kmehr_folder.medicationschemeelement_medicationschemeelement.child_MSE.item",0,1,"",""
